task_id,CPP,IPC,InstPP,L2MissesPP,FPointPP,AtomicsPP,LockPA,QTimePA,enQueuesPP,deQueueusPP,ActiveCPP,StagePos
PX_FPDIV,16626.7771157,0.0828798407049,1378.02463878,0.0158775,378.0,2.690605625,290.2819258,565.341894613,1.0,1.0,16626.7771157, 2
PX_FPDIV_CASX,52343.7065431,0.0465140444263,2434.71749158,0.0299471428571,378.0,882.746406667,304.850118062,581.125230663,1.0,1.0,16718.7065431, 2
PX_HASHMEM,16626.6779306,0.248724174203,4135.45673804,24.0469045833,0.0,30.0144220833,252.718671557,525.487871158,9.874227175,1.0,16626.6779306, 1
PX_HASHMEM_CASX,56912.418971,0.0693694550656,3947.98349048,24.03948875,0.0,1122.7534115,326.0969846,588.624188425,1.0,1.0,11520.418971, 1
RX,8319.84270975,0.275297084883,2290.42844468,0.133139285714,0.0,38.3744803571,251.857373365,512.732570027,11.682923075,0.0,8319.84270975, 0
RX_CASX,37507.1390942,0.0422858561468,1586.02148821,0.1339234375,0.0,884.249263571,292.52858865,533.5507647,1.0,0.0,1822.13909416, 0
TX,16624.6489872,0.298914553967,4969.34953689,0.046459,0.0,88.1599085,212.380874857,481.939497865,0.0,29.041184275,16624.6489872, 3
TX_CASX,36710.1404177,0.0367596234921,1349.4509401,0.038350625,0.0,883.595215714,301.8528187,464.283124,0.0,1.0,1024.14041773, 3
